g:10; b:1.0; p:0.3; NOCs:0; fc:0.0
g:1000; b:1.3000000000000003; p:0.8; NOCs:0; fc:0.0
g:1000; b:1.3000000000000003; p:0.8; NOCs:1; fc:0.0
g:1000; b:1.4000000000000004; p:0.3; NOCs:0; fc:0.0
g:1000; b:1.4000000000000004; p:0.3; NOCs:1; fc:0.0
g:1000; b:1.4000000000000004; p:0.8; NOCs:0; fc:0.0
g:1000; b:1.4000000000000004; p:0.8; NOCs:1; fc:0.0
g:1000; b:1.5000000000000004; p:0.3; NOCs:0; fc:0.0
g:1000; b:1.5000000000000004; p:0.3; NOCs:1; fc:0.0
g:1000; b:1.5000000000000004; p:0.8; NOCs:0; fc:0.0
g:1000; b:1.5000000000000004; p:0.8; NOCs:1; fc:0.0
g:1000; b:1.6000000000000005; p:0.3; NOCs:0; fc:0.0
g:1000; b:1.6000000000000005; p:0.3; NOCs:1; fc:0.0
g:1000; b:1.6000000000000005; p:0.8; NOCs:0; fc:0.0
g:1000; b:1.6000000000000005; p:0.8; NOCs:1; fc:0.0
g:1000; b:1.7000000000000006; p:0.3; NOCs:0; fc:0.0
g:1000; b:1.7000000000000006; p:0.3; NOCs:1; fc:0.0
g:1000; b:1.7000000000000006; p:0.8; NOCs:0; fc:0.0
g:1000; b:1.7000000000000006; p:0.8; NOCs:1; fc:0.0
g:1000; b:1.8000000000000007; p:0.3; NOCs:0; fc:0.0
g:1000; b:1.8000000000000007; p:0.3; NOCs:1; fc:0.0
g:1000; b:1.8000000000000007; p:0.8; NOCs:0; fc:0.0
g:1000; b:1.8000000000000007; p:0.8; NOCs:1; fc:0.0
g:1000; b:1.9000000000000008; p:0.3; NOCs:0; fc:0.0
g:1000; b:1.9000000000000008; p:0.3; NOCs:1; fc:0.0
g:1000; b:1.9000000000000008; p:0.8; NOCs:0; fc:0.0
g:1000; b:1.9000000000000008; p:0.8; NOCs:1; fc:0.0
g:3200; b:1.0; p:0.3; NOCs:0; fc:0.0
g:3200; b:1.0; p:0.3; NOCs:1; fc:0.0
g:3200; b:1.0; p:0.8; NOCs:0; fc:0.0
g:3200; b:1.0; p:0.8; NOCs:1; fc:0.0
g:3200; b:1.1; p:0.3; NOCs:0; fc:0.0
g:3200; b:1.1; p:0.3; NOCs:1; fc:0.0
g:3200; b:1.1; p:0.8; NOCs:0; fc:0.0
g:3200; b:1.1; p:0.8; NOCs:1; fc:0.0
g:3200; b:1.2000000000000002; p:0.3; NOCs:0; fc:0.0
g:3200; b:1.2000000000000002; p:0.3; NOCs:1; fc:0.0
g:3200; b:1.2000000000000002; p:0.8; NOCs:0; fc:0.0
g:3200; b:1.2000000000000002; p:0.8; NOCs:1; fc:0.0
g:3200; b:1.3000000000000003; p:0.3; NOCs:0; fc:0.0
g:3200; b:1.3000000000000003; p:0.3; NOCs:1; fc:0.0
g:3200; b:1.3000000000000003; p:0.8; NOCs:0; fc:0.0
g:3200; b:1.3000000000000003; p:0.8; NOCs:1; fc:0.0
g:3200; b:1.4000000000000004; p:0.3; NOCs:0; fc:0.0
g:3200; b:1.4000000000000004; p:0.3; NOCs:1; fc:0.0
g:3200; b:1.4000000000000004; p:0.8; NOCs:0; fc:0.0
g:3200; b:1.4000000000000004; p:0.8; NOCs:1; fc:0.0
g:3200; b:1.5000000000000004; p:0.3; NOCs:0; fc:0.0
g:3200; b:1.5000000000000004; p:0.3; NOCs:1; fc:0.0
g:3200; b:1.5000000000000004; p:0.8; NOCs:0; fc:0.0
g:3200; b:1.5000000000000004; p:0.8; NOCs:1; fc:0.0
g:3200; b:1.6000000000000005; p:0.3; NOCs:0; fc:0.0
g:3200; b:1.6000000000000005; p:0.3; NOCs:1; fc:0.0
g:3200; b:1.6000000000000005; p:0.8; NOCs:0; fc:0.0
g:3200; b:1.6000000000000005; p:0.8; NOCs:1; fc:0.0
g:3200; b:1.7000000000000006; p:0.3; NOCs:0; fc:0.0
g:3200; b:1.7000000000000006; p:0.3; NOCs:1; fc:0.0
g:3200; b:1.7000000000000006; p:0.8; NOCs:0; fc:0.0
g:3200; b:1.7000000000000006; p:0.8; NOCs:1; fc:0.0
g:3200; b:1.8000000000000007; p:0.3; NOCs:0; fc:0.0
g:3200; b:1.8000000000000007; p:0.3; NOCs:1; fc:0.0
g:3200; b:1.8000000000000007; p:0.8; NOCs:0; fc:0.0
g:3200; b:1.8000000000000007; p:0.8; NOCs:1; fc:0.0
g:3200; b:1.9000000000000008; p:0.3; NOCs:0; fc:0.0
g:3200; b:1.9000000000000008; p:0.3; NOCs:1; fc:0.0
g:3200; b:1.9000000000000008; p:0.8; NOCs:0; fc:0.0
g:3200; b:1.9000000000000008; p:0.8; NOCs:1; fc:0.0
